"SAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"51000","Virginia","10","Personal income (millions of dollars)",387003.9,405863.9,403198.4,421873.6,441016.7,452400.5,470835.7,492764.3,509201.3
"51000","Virginia","20","Population (persons) 3/",8102437,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8556642
"51000","Virginia","30","Per capita personal income (dollars) 4/",47764,49571,48838,50734,52707,53744,55582,57898,59509
"51000","Virginia","","Employment (number of jobs)","","","","","","","","",""
"51000","Virginia","7010","Total employment",4802678,4856886,4898765,4953354,5060290,5142712,5218115,5311110,5407314
"53000","Washington","","Income by place of residence","","","","","","","","",""
"53000","Washington","10","Personal income (millions of dollars)",304986.9,329258.6,336333.5,363326.7,385904.8,407060.4,433795.8,468055.1,493127.9
"53000","Washington","20","Population (persons) 3/",6827479,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7614024
"53000","Washington","30","Per capita personal income (dollars) 4/",44670,47728,48280,51481,53843,55762,58400,62185,64766
"53000","Washington","","Employment (number of jobs)","","","","","","","","",""
"53000","Washington","7010","Total employment",3814305,3909210,3991724,4094309,4199112,4310119,4429973,4542520,4647252
"54000","West Virginia","","Income by place of residence","","","","","","","","",""
"54000","West Virginia","10","Personal income (millions of dollars)",63349.2,65206.2,64785.0,66863.6,68269.1,67928.7,70729.9,74321.6,75834.6
"54000","West Virginia","20","Population (persons) 3/",1856606,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1795263
"54000","West Virginia","30","Per capita personal income (dollars) 4/",34121,35105,34929,36131,37036,37070,38891,41154,42242
"54000","West Virginia","","Employment (number of jobs)","","","","","","","","",""
"54000","West Virginia","7010","Total employment",909035,918927,913619,911516,904242,890105,888888,897415,895190
"55000","Wisconsin","","Income by place of residence","","","","","","","","",""
"55000","Wisconsin","10","Personal income (millions of dollars)",234910.0,246150.8,247744.9,258489.4,269952.1,274764.7,285249.9,299827.0,309909.3
"55000","Wisconsin","20","Population (persons) 3/",5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581
"55000","Wisconsin","30","Per capita personal income (dollars) 4/",41170,43027,43176,44930,46843,47577,49239,51611,53207
"55000","Wisconsin","","Employment (number of jobs)","","","","","","","","",""
"55000","Wisconsin","7010","Total employment",3474418,3499405,3539937,3585838,3624584,3658030,3679343,3720997,3753460
"56000","Wyoming","","Income by place of residence","","","","","","","","",""
"56000","Wyoming","10","Personal income (millions of dollars)",28356.6,30846.1,30789.6,33035.4,33274.6,31645.7,32723.6,35054.2,35992.7
"56000","Wyoming","20","Population (persons) 3/",567491,576656,582620,583159,586389,585243,579994,579054,580116
"56000","Wyoming","30","Per capita personal income (dollars) 4/",49968,53491,52847,56649,56745,54073,56421,60537,62044
"56000","Wyoming","","Employment (number of jobs)","","","","","","","","",""
"56000","Wyoming","7010","Total employment",390303,396704,400402,406343,406033,398271,398915,404465,412765
"91000","New England","","Income by place of residence","","","","","","","","",""
"91000","New England","10","Personal income (millions of dollars)",786208.4,813572.1,811872.3,851132.2,891919.5,919177.8,955100.5,1001084.2,1035507.3
"91000","New England","20","Population (persons) 3/",14532793,14593505,14648928,14708239,14735319,14765334,14806708,14839608,14849662
"91000","New England","30","Per capita personal income (dollars) 4/",54099,55749,55422,57868,60529,62252,64505,67460,69733
"91000","New England","","Employment (number of jobs)","","","","","","","","",""
"91000","New England","7010","Total employment",9003399,9112599,9266260,9411093,9656275,9776192,9869848,9994139,10127365
"92000","Mideast","","Income by place of residence","","","","","","","","",""
"92000","Mideast","10","Personal income (millions of dollars)",2429372.2,2534851.3,2558399.7,2670803.0,2788694.8,2879300.1,3017982.5,3147619.1,3266721.4
"92000","Mideast","20","Population (persons) 3/",48443646,48628786,48764665,48869898,48925078,48943022,48959882,48958220,48893147
"92000","Mideast","30","Per capita personal income (dollars) 4/",50148,52127,52464,54651,56999,58830,61642,64292,66813
"92000","Mideast","","Employment (number of jobs)","","","","","","","","",""
"92000","Mideast","7010","Total employment",28281659,28578752,28989781,29461455,29957778,30370572,30681189,31228787,31716948
"93000","Great Lakes","","Income by place of residence","","","","","","","","",""
"93000","Great Lakes","10","Personal income (millions of dollars)",1869911.2,1952368.6,1981816.5,2071441.6,2164967.5,2206860.0,2284014.9,2389921.2,2460678.3
"93000","Great Lakes","20","Population (persons) 3/",46519661,46592103,46698859,46772916,46790752,46828954,46877566,46900663,46903910
"93000","Great Lakes","30","Per capita personal income (dollars) 4/",40196,41903,42438,44287,46269,47126,48723,50957,52462
"93000","Great Lakes","","Employment (number of jobs)","","","","","","","","",""
"93000","Great Lakes","7010","Total employment",26127720,26416804,26731751,27123259,27533547,27812342,28017142,28341601,28638412
"94000","Plains","","Income by place of residence","","","","","","","","",""
"94000","Plains","10","Personal income (millions of dollars)",874230.1,924061.4,934446.3,975636.8,1009285.9,1022335.6,1055029.3,1107629.8,1146514.6
"94000","Plains","20","Population (persons) 3/",20644431,20756172,20877665,20992660,21094930,21189221,21282776,21362356,21436181
"94000","Plains","30","Per capita personal income (dollars) 4/",42347,44520,44758,46475,47845,48248,49572,51850,53485
"94000","Plains","","Employment (number of jobs)","","","","","","","","",""
"94000","Plains","7010","Total employment",13099492,13262142,13446202,13614283,13782513,13866880,13938822,14072424,14227438
"95000","Southeast","","Income by place of residence","","","","","","","","",""
"95000","Southeast","10","Personal income (millions of dollars)",3020197.1,3157295.1,3170413.3,3353410.1,3528554.1,3632818.8,3818754.9,4022275.8,4173677.0
"95000","Southeast","20","Population (persons) 3/",79217034,79921126,80562858,81267171,82062567,82932761,83703203,84367819,84999199
"95000","Southeast","30","Per capita personal income (dollars) 4/",38126,39505,39353,41264,42998,43804,45623,47675,49103
"95000","Southeast","","Employment (number of jobs)","","","","","","","","",""
"95000","Southeast","7010","Total employment",42886195,43433405,44149358,45199079,46292536,47177244,48127593,49285402,50218768
"96000","Southwest","","Income by place of residence","","","","","","","","",""
"96000","Southwest","10","Personal income (millions of dollars)",1504832.7,1602000.5,1642078.9,1760489.9,1802899.6,1807841.2,1924648.1,2051026.8,2144763.9
"96000","Southwest","20","Population (persons) 3/",37988451,38547499,39061060,39665388,40301930,40879529,41365558,41826034,42338947
"96000","Southwest","30","Per capita personal income (dollars) 4/",39613,41559,42039,44384,44735,44224,46528,49037,50657
"96000","Southwest","","Employment (number of jobs)","","","","","","","","",""
"96000","Southwest","7010","Total employment",21143618,21670433,22224964,22805342,23342071,23710276,24229699,24880400,25461097
"97000","Rocky Mountain","","Income by place of residence","","","","","","","","",""
"97000","Rocky Mountain","10","Personal income (millions of dollars)",438915.4,467719.0,485557.5,522128.6,550687.7,565286.7,602994.2,647600.7,680390.1
"97000","Rocky Mountain","20","Population (persons) 3/",11085978,11224540,11378378,11529028,11708333,11899501,12074562,12245254,12401168
"97000","Rocky Mountain","30","Per capita personal income (dollars) 4/",39592,41669,42674,45288,47034,47505,49939,52886,54865
"97000","Rocky Mountain","","Employment (number of jobs)","","","","","","","","",""
"97000","Rocky Mountain","7010","Total employment",6760523,6881972,7054731,7252207,7456232,7644259,7833546,8052478,8256437
"98000","Far West","","Income by place of residence","","","","","","","","",""
"98000","Far West","10","Personal income (millions of dollars)",2391810.9,2546514.9,2590918.4,2777672.9,2980130.9,3118260.6,3279057.7,3472097.3,3634009.4
"98000","Far West","20","Population (persons) 3/",53151487,53613931,54067534,54581029,55120085,55633433,56051873,56338245,56507739
"98000","Far West","30","Per capita personal income (dollars) 4/",45000,47497,47920,50891,54066,56050,58500,61629,64310
"98000","Far West","","Employment (number of jobs)","","","","","","","","",""
"98000","Far West","7010","Total employment",28789094,29623593,30462053,31367082,32304848,33021135,33639261,34428969,35163035
